Algorithm,Accuracy,Precision,Recall,Specificity,F1-Score,AUC
Logistic,0.7738461538461539,0.33678756476683935,0.7738095238095238,0.773851590106007,0.4693140794223827,0.8425458522631667
NB,0.7261538461538461,0.29017857142857145,0.7738095238095238,0.7190812720848057,0.42207792207792205,0.8201876156823154
KNN,0.7246153846153847,0.24867724867724866,0.5595238095238095,0.7491166077738516,0.3443223443223443,0.6772884065286893
Tree,0.8384615384615385,0.37349397590361444,0.36904761904761907,0.9081272084805654,0.3712574850299401,0.6385874137640922
AdaBoost,0.7815384615384615,0.3273809523809524,0.6547619047619048,0.8003533568904594,0.4365079365079365,0.7937068820461045
GBoost,0.8492307692307692,0.41025641025641024,0.38095238095238093,0.9187279151943463,0.3950617283950617,0.7772589601211509
RandomForest,0.7830769230769231,0.3184713375796178,0.5952380952380952,0.8109540636042403,0.4149377593360996,0.7960941443715296
SVC,0.7784615384615384,0.3192771084337349,0.6309523809523809,0.8003533568904594,0.424,0.7790888440181727
LDA,0.7661538461538462,0.32653061224489793,0.7619047619047619,0.7667844522968198,0.45714285714285713,0.8427141174490999
QDA,0.8353846153846154,0.4049586776859504,0.5833333333333334,0.872791519434629,0.47804878048780486,0.8333964327780581
